student_id,program_id,school_id,grade_level,gender,race_ethnicity,iep,ell,free_reduced_lunch,enrollment_date,active,tutoring_group_id
STU-00036,PROG-001,SCH-001,3,F,Hispanic,false,false,false,2025-09-11,true,GRP-006
STU-00037,PROG-001,SCH-001,6,F,Black,false,false,true,2025-09-06,true,GRP-001
STU-00038,PROG-001,SCH-001,3,F,AIAN,false,false,true,2025-09-08,true,
STU-00039,PROG-001,SCH-001,8,F,TwoOrMore,false,false,false,2025-09-01,true,GRP-003
STU-00040,PROG-001,SCH-001,4,NB,Hispanic,false,true,true,2025-09-08,true,GRP-004
STU-00041,PROG-001,SCH-001,4,F,Hispanic,false,false,false,2025-09-10,true,GRP-005
STU-00042,PROG-001,SCH-001,3,F,Black,true,false,false,2025-09-10,true,
STU-00043,PROG-001,SCH-001,8,M,White,false,false,true,2025-09-04,true,GRP-001
STU-00044,PROG-001,SCH-001,8,F,Asian,false,true,false,2025-09-10,true,GRP-002
STU-00045,PROG-001,SCH-001,8,F,Hispanic,false,true,true,2025-09-06,true,GRP-003
STU-00046,PROG-001,SCH-001,6,F,Black,true,false,true,2025-09-06,true,GRP-004
STU-00047,PROG-001,SCH-001,8,F,Black,false,false,false,2025-09-05,true,GRP-005
STU-00048,PROG-001,SCH-001,7,F,Hispanic,false,false,false,2025-09-05,true,GRP-006
STU-00049,PROG-001,SCH-001,6,M,Hispanic,false,false,true,2025-09-10,true,GRP-001
STU-00050,PROG-001,SCH-001,4,M,White,true,false,true,2025-09-06,true,GRP-002
STU-00051,PROG-001,SCH-001,3,M,TwoOrMore,false,false,true,2025-09-09,true,GRP-003
STU-00052,PROG-001,SCH-001,8,M,White,false,false,false,2025-09-08,true,GRP-004
STU-00053,PROG-001,SCH-001,8,F,Hispanic,false,true,true,2025-09-04,true,GRP-005
STU-00054,PROG-001,SCH-001,8,F,Asian,false,false,true,2025-09-09,true,GRP-006
STU-00055,PROG-001,SCH-001,4,F,Black,false,false,true,2025-09-06,true,GRP-001
STU-00056,PROG-001,SCH-001,6,F,Asian,false,false,true,2025-09-05,true,GRP-002
STU-00057,PROG-001,SCH-001,4,U,White,false,false,true,2025-09-05,true,GRP-003
STU-00058,PROG-001,SCH-001,3,M,AIAN,true,false,true,2025-09-09,true,GRP-004
STU-00059,PROG-001,SCH-001,3,NB,Black,false,false,true,2025-09-10,true,GRP-005
STU-00060,PROG-001,SCH-001,6,F,Black,false,false,true,2025-09-02,true,GRP-006
STU-00061,PROG-001,SCH-002,4,M,White,true,false,true,2025-09-13,true,GRP-007
STU-00062,PROG-001,SCH-002,7,M,White,false,true,false,2025-09-10,true,GRP-008
STU-00063,PROG-001,SCH-002,7,M,AIAN,false,false,true,2025-09-07,true,GRP-009
STU-00064,PROG-001,SCH-002,4,F,Asian,false,false,false,2025-09-11,true,GRP-010
STU-00065,PROG-001,SCH-002,3,F,Asian,false,false,true,2025-09-07,true,GRP-011
STU-00066,PROG-001,SCH-002,8,F,Black,false,false,false,2025-09-14,true,GRP-007
STU-00067,PROG-001,SCH-002,8,F,Hispanic,false,false,false,2025-09-13,true,GRP-008
STU-00068,PROG-001,SCH-002,4,M,White,false,false,false,2025-09-02,true,
STU-00069,PROG-001,SCH-002,6,F,White,false,false,false,2025-09-02,true,GRP-010
STU-00070,PROG-001,SCH-002,6,M,Black,false,false,true,2025-09-02,true,GRP-011
STU-00071,PROG-001,SCH-002,4,F,Black,false,false,true,2025-09-11,true,GRP-007
STU-00072,PROG-001,SCH-002,5,F,Hispanic,false,false,false,2025-09-10,true,
STU-00073,PROG-001,SCH-002,4,F,White,false,false,false,2025-09-10,true,GRP-009
STU-00074,PROG-001,SCH-002,5,F,Black,false,false,true,2025-09-11,true,GRP-010
STU-00075,PROG-001,SCH-002,6,M,White,false,false,false,2025-09-14,true,GRP-011
STU-00076,PROG-001,SCH-002,6,M,White,true,false,true,2025-09-14,true,GRP-007
STU-00077,PROG-001,SCH-002,4,U,Black,false,false,true,2025-09-09,true,GRP-008
STU-00078,PROG-001,SCH-002,7,F,Black,false,false,true,2025-09-03,true,GRP-009
STU-00079,PROG-001,SCH-002,7,M,Black,false,true,false,2025-09-13,true,GRP-010
STU-00080,PROG-001,SCH-002,3,M,Asian,false,false,true,2025-09-08,true,GRP-011
STU-00081,PROG-001,SCH-002,8,F,Black,false,false,true,2025-09-05,true,GRP-007
STU-00082,PROG-001,SCH-002,4,F,Black,false,false,true,2025-09-10,true,GRP-008
STU-00083,PROG-001,SCH-002,6,F,Hispanic,false,false,false,2025-09-06,true,GRP-009
STU-00084,PROG-001,SCH-002,7,F,Hispanic,false,false,true,2025-09-10,true,GRP-010
STU-00085,PROG-001,SCH-002,7,F,Black,false,false,true,2025-09-13,true,GRP-011
STU-00086,PROG-001,SCH-002,7,M,White,false,false,false,2025-09-07,true,GRP-007
STU-00087,PROG-001,SCH-002,6,F,Asian,true,false,false,2025-09-07,true,GRP-008
STU-00088,PROG-001,SCH-002,4,F,Hispanic,false,false,false,2025-09-09,true,GRP-009
STU-00089,PROG-001,SCH-002,6,M,TwoOrMore,true,false,true,2025-09-01,true,GRP-010
STU-00090,PROG-001,SCH-002,5,M,White,false,false,true,2025-09-06,true,GRP-011
STU-00091,PROG-001,SCH-002,7,M,Hispanic,true,false,false,2025-09-07,true,GRP-007
STU-00092,PROG-001,SCH-002,7,F,White,false,false,true,2025-09-02,true,GRP-008
STU-00093,PROG-001,SCH-002,3,F,Hispanic,false,false,true,2025-09-13,true,GRP-009
STU-00094,PROG-001,SCH-002,3,F,Hispanic,false,false,false,2025-09-06,true,GRP-010
STU-00095,PROG-001,SCH-002,7,M,Hispanic,false,true,true,2025-09-11,true,GRP-011
STU-00096,PROG-001,SCH-002,4,M,Hispanic,true,false,false,2025-09-08,true,GRP-007
STU-00097,PROG-001,SCH-002,3,M,NHPI,false,false,true,2025-09-13,true,GRP-008
STU-00098,PROG-001,SCH-002,7,M,NHPI,false,true,false,2025-09-05,true,GRP-009
STU-00099,PROG-001,SCH-002,6,M,NHPI,false,false,true,2025-09-14,true,GRP-010
STU-00100,PROG-001,SCH-002,5,M,Black,false,false,false,2025-09-01,true,GRP-011
STU-00101,PROG-001,SCH-002,8,F,Hispanic,false,false,false,2025-09-01,true,GRP-007
STU-00102,PROG-001,SCH-002,4,F,Hispanic,false,false,false,2025-09-10,true,GRP-008
STU-00103,PROG-001,SCH-002,8,M,White,false,false,false,2025-09-11,true,GRP-009
STU-00104,PROG-001,SCH-002,6,F,Hispanic,false,false,true,2025-09-01,true,GRP-010
STU-00105,PROG-001,SCH-002,4,F,Hispanic,true,false,false,2025-09-04,true,GRP-011
STU-00106,PROG-001,SCH-003,4,F,Hispanic,false,false,false,2025-09-05,true,GRP-012
STU-00107,PROG-001,SCH-003,3,NB,Black,false,false,false,2025-09-08,true,GRP-013
STU-00108,PROG-001,SCH-003,6,M,Hispanic,false,false,false,2025-09-14,true,GRP-014
STU-00109,PROG-001,SCH-003,6,M,Black,false,true,true,2025-09-06,true,GRP-012
STU-00110,PROG-001,SCH-003,3,F,White,false,false,false,2025-09-11,true,GRP-013
STU-00111,PROG-001,SCH-003,4,M,Black,false,false,false,2025-09-11,true,GRP-014
STU-00112,PROG-001,SCH-003,4,F,Hispanic,false,false,true,2025-09-01,true,GRP-012
STU-00113,PROG-001,SCH-003,4,M,TwoOrMore,false,true,false,2025-09-07,true,GRP-013
STU-00114,PROG-001,SCH-003,8,F,Black,false,false,true,2025-09-12,true,GRP-014
STU-00115,PROG-001,SCH-003,5,M,Asian,true,false,true,2025-09-01,true,GRP-012
STU-00116,PROG-001,SCH-003,8,M,AIAN,false,false,true,2025-09-06,true,GRP-013
STU-00117,PROG-001,SCH-003,3,U,Black,false,false,true,2025-09-14,true,GRP-014
STU-00118,PROG-001,SCH-003,3,M,Hispanic,false,false,false,2025-09-13,true,GRP-012
STU-00119,PROG-001,SCH-003,7,U,Hispanic,false,false,false,2025-09-04,true,GRP-013
STU-00120,PROG-001,SCH-003,7,F,Black,false,false,false,2025-09-01,true,GRP-014
STU-00121,PROG-001,SCH-003,3,U,White,false,false,false,2025-09-11,true,GRP-012
STU-00122,PROG-001,SCH-003,3,M,Black,false,false,true,2025-09-03,true,GRP-013
STU-00123,PROG-001,SCH-003,6,M,Black,false,true,true,2025-09-13,true,GRP-014
STU-00124,PROG-001,SCH-003,8,F,Black,false,false,false,2025-09-13,true,GRP-012
STU-00125,PROG-001,SCH-003,6,F,Asian,false,false,true,2025-09-14,true,GRP-013
STU-00126,PROG-001,SCH-003,3,F,Hispanic,false,false,true,2025-09-06,true,GRP-014
STU-00127,PROG-001,SCH-003,5,M,Hispanic,false,false,true,2025-09-07,true,GRP-012
STU-00128,PROG-001,SCH-003,8,F,White,false,false,true,2025-09-02,true,GRP-013
STU-00129,PROG-001,SCH-003,6,F,White,false,false,true,2025-09-04,true,GRP-014
STU-00130,PROG-001,SCH-003,5,F,Black,false,false,true,2025-09-11,true,GRP-012
STU-00131,PROG-001,SCH-003,3,NB,Hispanic,false,false,true,2025-09-02,true,GRP-013
STU-00132,PROG-001,SCH-003,7,F,Asian,false,true,true,2025-09-09,true,GRP-014
STU-00133,PROG-001,SCH-003,8,M,Hispanic,false,false,false,2025-09-01,true,GRP-012
STU-00134,PROG-001,SCH-003,8,F,TwoOrMore,false,false,true,2025-09-08,true,GRP-013
STU-00135,PROG-001,SCH-003,7,M,Hispanic,false,false,false,2025-09-04,true,GRP-014
