response_id,survey_id,student_id,question_code,question_text,response_value,response_type,responded_at
RSP-000078,SRV-001,STU-00014,NPS_SCORE,How likely are you to recommend this program?,3,nps,2025-11-15T10:42:00Z
RSP-000079,SRV-001,STU-00006,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T12:05:00Z
RSP-000080,SRV-001,STU-00006,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T12:41:00Z
RSP-000081,SRV-001,STU-00006,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T19:55:00Z
RSP-000082,SRV-001,STU-00006,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T09:26:00Z
RSP-000083,SRV-001,STU-00064,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T17:38:00Z
RSP-000084,SRV-001,STU-00064,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T18:08:00Z
RSP-000085,SRV-001,STU-00064,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T10:02:00Z
RSP-000086,SRV-001,STU-00064,NPS_SCORE,How likely are you to recommend this program?,0,nps,2025-11-15T12:59:00Z
RSP-000087,SRV-001,STU-00081,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T11:54:00Z
RSP-000088,SRV-001,STU-00081,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T13:54:00Z
RSP-000089,SRV-001,STU-00081,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T11:23:00Z
RSP-000090,SRV-001,STU-00090,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T20:48:00Z
RSP-000091,SRV-001,STU-00090,NPS_SCORE,How likely are you to recommend this program?,0,nps,2025-11-15T14:16:00Z
RSP-000092,SRV-001,STU-00040,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T18:52:00Z
RSP-000093,SRV-001,STU-00040,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T11:59:00Z
RSP-000094,SRV-001,STU-00040,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T15:22:00Z
RSP-000095,SRV-001,STU-00121,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T09:39:00Z
RSP-000096,SRV-001,STU-00121,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T20:04:00Z
RSP-000097,SRV-001,STU-00121,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T17:05:00Z
RSP-000098,SRV-001,STU-00121,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T19:04:00Z
RSP-000099,SRV-001,STU-00004,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T17:02:00Z
RSP-000100,SRV-001,STU-00004,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T17:47:00Z
RSP-000101,SRV-001,STU-00004,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T09:50:00Z
RSP-000102,SRV-001,STU-00131,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T12:04:00Z
RSP-000103,SRV-001,STU-00131,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T10:09:00Z
RSP-000104,SRV-001,STU-00131,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T09:26:00Z
RSP-000105,SRV-001,STU-00131,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T08:23:00Z
RSP-000106,SRV-001,STU-00118,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T14:53:00Z
RSP-000107,SRV-001,STU-00118,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T15:48:00Z
RSP-000108,SRV-001,STU-00118,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T14:14:00Z
RSP-000109,SRV-001,STU-00118,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T09:36:00Z
RSP-000110,SRV-001,STU-00112,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T13:23:00Z
RSP-000111,SRV-001,STU-00112,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T12:41:00Z
RSP-000112,SRV-001,STU-00030,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T11:43:00Z
RSP-000113,SRV-001,STU-00030,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T19:14:00Z
RSP-000114,SRV-001,STU-00030,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T08:19:00Z
RSP-000115,SRV-001,STU-00030,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T10:29:00Z
RSP-000116,SRV-001,STU-00135,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T14:08:00Z
RSP-000117,SRV-001,STU-00135,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T09:18:00Z
RSP-000118,SRV-001,STU-00135,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T11:50:00Z
RSP-000119,SRV-001,STU-00135,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T19:21:00Z
RSP-000120,SRV-001,STU-00011,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T19:20:00Z
RSP-000121,SRV-001,STU-00011,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T09:43:00Z
RSP-000122,SRV-001,STU-00011,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T18:56:00Z
RSP-000123,SRV-001,STU-00011,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T19:31:00Z
RSP-000124,SRV-001,STU-00100,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T18:39:00Z
RSP-000125,SRV-001,STU-00100,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T10:40:00Z
RSP-000126,SRV-001,STU-00100,NPS_SCORE,How likely are you to recommend this program?,4,nps,2025-11-15T19:05:00Z
RSP-000127,SRV-001,STU-00060,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T18:24:00Z
RSP-000128,SRV-001,STU-00060,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T16:21:00Z
RSP-000129,SRV-001,STU-00060,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T19:18:00Z
RSP-000130,SRV-001,STU-00060,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T13:42:00Z
RSP-000131,SRV-001,STU-00065,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T11:16:00Z
RSP-000132,SRV-001,STU-00065,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T20:44:00Z
RSP-000133,SRV-001,STU-00065,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T19:53:00Z
RSP-000134,SRV-001,STU-00050,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T15:25:00Z
RSP-000135,SRV-001,STU-00050,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T13:55:00Z
RSP-000136,SRV-001,STU-00050,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T19:36:00Z
RSP-000137,SRV-001,STU-00098,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T13:50:00Z
RSP-000138,SRV-001,STU-00098,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T19:57:00Z
RSP-000139,SRV-001,STU-00098,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T19:49:00Z
RSP-000140,SRV-001,STU-00098,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T13:12:00Z
RSP-000141,SRV-001,STU-00103,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T14:23:00Z
RSP-000142,SRV-001,STU-00103,Q2,My tutor explains things clearly.,3,likert_5,2025-11-15T14:24:00Z
RSP-000143,SRV-001,STU-00103,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T20:32:00Z
RSP-000144,SRV-001,STU-00103,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T14:13:00Z
RSP-000145,SRV-001,STU-00088,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T09:11:00Z
RSP-000146,SRV-001,STU-00088,Q2,My tutor explains things clearly.,3,likert_5,2025-11-15T08:34:00Z
RSP-000147,SRV-001,STU-00088,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T17:21:00Z
RSP-000148,SRV-001,STU-00088,NPS_SCORE,How likely are you to recommend this program?,9,nps,2025-11-15T12:32:00Z
RSP-000149,SRV-001,STU-00003,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T17:09:00Z
RSP-000150,SRV-001,STU-00003,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T17:24:00Z
RSP-000151,SRV-001,STU-00003,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T10:07:00Z
RSP-000152,SRV-001,STU-00019,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T08:29:00Z
RSP-000153,SRV-001,STU-00019,Q2,My tutor explains things clearly.,3,likert_5,2025-11-15T10:15:00Z
RSP-000154,SRV-001,STU-00019,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T09:17:00Z
RSP-000155,SRV-001,STU-00019,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T12:03:00Z
RSP-000156,SRV-001,STU-00132,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T18:34:00Z
RSP-000157,SRV-001,STU-00132,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T20:57:00Z
RSP-000158,SRV-001,STU-00132,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T12:49:00Z
RSP-000159,SRV-001,STU-00038,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T11:45:00Z
RSP-000160,SRV-001,STU-00038,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T17:26:00Z
RSP-000161,SRV-001,STU-00038,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T11:06:00Z
RSP-000162,SRV-001,STU-00038,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T08:01:00Z
RSP-000163,SRV-001,STU-00057,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T15:33:00Z
RSP-000164,SRV-001,STU-00057,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T10:59:00Z
RSP-000165,SRV-001,STU-00057,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T15:05:00Z
RSP-000166,SRV-001,STU-00095,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T12:20:00Z
RSP-000167,SRV-001,STU-00095,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T19:57:00Z
RSP-000168,SRV-001,STU-00007,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T20:29:00Z
RSP-000169,SRV-001,STU-00007,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T08:07:00Z
RSP-000170,SRV-001,STU-00007,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T18:59:00Z
RSP-000171,SRV-001,STU-00007,NPS_SCORE,How likely are you to recommend this program?,0,nps,2025-11-15T19:33:00Z
RSP-000172,SRV-001,STU-00023,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T19:52:00Z
RSP-000173,SRV-001,STU-00023,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T15:08:00Z
RSP-000174,SRV-001,STU-00023,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T18:20:00Z
RSP-000175,SRV-001,STU-00022,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T15:00:00Z
RSP-000176,SRV-001,STU-00022,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T20:40:00Z
RSP-000177,SRV-001,STU-00022,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T15:59:00Z
RSP-000178,SRV-001,STU-00082,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T13:20:00Z
RSP-000179,SRV-001,STU-00082,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T08:01:00Z
RSP-000180,SRV-001,STU-00082,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T18:11:00Z
RSP-000181,SRV-001,STU-00082,NPS_SCORE,How likely are you to recommend this program?,1,nps,2025-11-15T12:11:00Z
RSP-000182,SRV-001,STU-00105,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T09:27:00Z
RSP-000183,SRV-001,STU-00105,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T19:50:00Z
RSP-000184,SRV-001,STU-00052,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T16:51:00Z
RSP-000185,SRV-001,STU-00052,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T15:10:00Z
RSP-000186,SRV-001,STU-00052,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T09:12:00Z
RSP-000187,SRV-001,STU-00052,NPS_SCORE,How likely are you to recommend this program?,5,nps,2025-11-15T13:45:00Z
RSP-000188,SRV-001,STU-00048,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T19:01:00Z
RSP-000189,SRV-001,STU-00048,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T17:46:00Z
RSP-000190,SRV-001,STU-00048,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T20:15:00Z
RSP-000191,SRV-001,STU-00134,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T17:22:00Z
RSP-000192,SRV-001,STU-00134,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T11:09:00Z
RSP-000193,SRV-001,STU-00134,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T11:44:00Z
RSP-000194,SRV-001,STU-00041,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T17:38:00Z
RSP-000195,SRV-001,STU-00041,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T19:44:00Z
RSP-000196,SRV-001,STU-00041,NPS_SCORE,How likely are you to recommend this program?,3,nps,2025-11-15T20:22:00Z
RSP-000197,SRV-001,STU-00035,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T14:27:00Z
RSP-000198,SRV-001,STU-00035,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T15:25:00Z
RSP-000199,SRV-001,STU-00114,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T16:11:00Z
RSP-000200,SRV-001,STU-00114,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T20:07:00Z
RSP-000201,SRV-001,STU-00114,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T11:24:00Z
RSP-000202,SRV-001,STU-00084,NPS_SCORE,How likely are you to recommend this program?,5,nps,2025-11-15T18:54:00Z
RSP-000203,SRV-001,STU-00001,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T11:57:00Z
RSP-000204,SRV-001,STU-00001,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T18:11:00Z
RSP-000205,SRV-001,STU-00001,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T18:50:00Z
RSP-000206,SRV-001,STU-00001,NPS_SCORE,How likely are you to recommend this program?,6,nps,2025-11-15T19:48:00Z
RSP-000207,SRV-001,STU-00075,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T20:25:00Z
RSP-000208,SRV-001,STU-00075,Q2,My tutor explains things clearly.,3,likert_5,2025-11-15T15:48:00Z
RSP-000209,SRV-001,STU-00075,Q3,I feel more confident in this subject.,2,likert_5,2025-11-15T11:13:00Z
RSP-000210,SRV-001,STU-00075,NPS_SCORE,How likely are you to recommend this program?,2,nps,2025-11-15T10:10:00Z
RSP-000211,SRV-001,STU-00018,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T08:40:00Z
RSP-000212,SRV-001,STU-00018,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T10:22:00Z
RSP-000213,SRV-001,STU-00018,NPS_SCORE,How likely are you to recommend this program?,10,nps,2025-11-15T19:36:00Z
RSP-000214,SRV-001,STU-00122,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T10:46:00Z
RSP-000215,SRV-001,STU-00122,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T08:24:00Z
RSP-000216,SRV-001,STU-00122,NPS_SCORE,How likely are you to recommend this program?,9,nps,2025-11-15T13:13:00Z
RSP-000217,SRV-001,STU-00087,Q1,I enjoy my tutoring sessions.,1,likert_5,2025-11-15T14:15:00Z
RSP-000218,SRV-001,STU-00087,Q2,My tutor explains things clearly.,4,likert_5,2025-11-15T20:15:00Z
RSP-000219,SRV-001,STU-00087,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T08:17:00Z
RSP-000220,SRV-001,STU-00133,Q1,I enjoy my tutoring sessions.,4,likert_5,2025-11-15T12:06:00Z
RSP-000221,SRV-001,STU-00133,Q2,My tutor explains things clearly.,1,likert_5,2025-11-15T15:42:00Z
RSP-000222,SRV-001,STU-00133,Q3,I feel more confident in this subject.,5,likert_5,2025-11-15T12:49:00Z
RSP-000223,SRV-001,STU-00046,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T08:56:00Z
RSP-000224,SRV-001,STU-00046,Q2,My tutor explains things clearly.,2,likert_5,2025-11-15T20:24:00Z
RSP-000225,SRV-001,STU-00046,NPS_SCORE,How likely are you to recommend this program?,8,nps,2025-11-15T20:18:00Z
RSP-000226,SRV-001,STU-00008,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T17:53:00Z
RSP-000227,SRV-001,STU-00008,Q2,My tutor explains things clearly.,3,likert_5,2025-11-15T14:04:00Z
RSP-000228,SRV-001,STU-00008,Q3,I feel more confident in this subject.,3,likert_5,2025-11-15T20:30:00Z
RSP-000229,SRV-001,STU-00119,Q1,I enjoy my tutoring sessions.,5,likert_5,2025-11-15T09:51:00Z
RSP-000230,SRV-001,STU-00119,Q3,I feel more confident in this subject.,1,likert_5,2025-11-15T13:05:00Z
RSP-000231,SRV-001,STU-00119,NPS_SCORE,How likely are you to recommend this program?,4,nps,2025-11-15T09:04:00Z
RSP-000232,SRV-001,STU-00125,Q1,I enjoy my tutoring sessions.,3,likert_5,2025-11-15T13:27:00Z
RSP-000233,SRV-001,STU-00125,Q2,My tutor explains things clearly.,5,likert_5,2025-11-15T18:05:00Z
RSP-000234,SRV-001,STU-00125,Q3,I feel more confident in this subject.,4,likert_5,2025-11-15T17:13:00Z
RSP-000235,SRV-001,STU-00125,NPS_SCORE,How likely are you to recommend this program?,7,nps,2025-11-15T16:31:00Z
RSP-000236,SRV-001,STU-00056,Q1,I enjoy my tutoring sessions.,2,likert_5,2025-11-15T08:30:00Z
