session_id,group_id,tutor_id,scheduled_date,scheduled_start_time,duration_minutes,status,actual_duration_minutes,tutor_on_time,platform
SES-00033,GRP-001,TUT-001,2025-11-13,09:00,45,completed,50,true,hybrid
SES-00034,GRP-001,TUT-001,2025-11-18,09:00,45,completed,49,true,virtual
SES-00035,GRP-001,TUT-001,2025-11-19,09:00,45,completed,49,true,hybrid
SES-00036,GRP-001,TUT-001,2025-11-20,09:00,45,completed,50,true,virtual
SES-00037,GRP-001,TUT-001,2025-11-25,09:00,45,cancelled_tutor,,,virtual
SES-00038,GRP-001,TUT-001,2025-11-26,09:00,45,completed,44,true,virtual
SES-00039,GRP-001,TUT-001,2025-11-27,09:00,45,completed,44,true,in_person
SES-00040,GRP-002,TUT-002,2025-09-02,09:30,45,completed,48,false,hybrid
SES-00041,GRP-002,TUT-002,2025-09-04,09:30,45,completed,47,true,hybrid
SES-00042,GRP-002,TUT-002,2025-09-05,09:30,45,completed,45,true,hybrid
SES-00043,GRP-002,TUT-002,2025-09-09,09:30,45,completed,40,true,virtual
SES-00044,GRP-002,TUT-002,2025-09-11,09:30,45,no_show,,,in_person
SES-00045,GRP-002,TUT-002,2025-09-12,09:30,45,completed,42,true,hybrid
SES-00046,GRP-002,TUT-002,2025-09-16,09:30,45,completed,47,true,hybrid
SES-00047,GRP-002,TUT-002,2025-09-18,09:30,45,completed,45,true,virtual
SES-00048,GRP-002,TUT-002,2025-09-19,09:30,45,completed,45,true,in_person
SES-00049,GRP-002,TUT-002,2025-09-23,09:30,45,completed,50,true,virtual
SES-00050,GRP-002,TUT-002,2025-09-25,09:30,45,completed,50,true,virtual
SES-00051,GRP-002,TUT-002,2025-09-26,09:30,45,completed,50,false,hybrid
SES-00052,GRP-002,TUT-002,2025-09-30,09:30,45,completed,45,true,hybrid
SES-00053,GRP-002,TUT-002,2025-10-02,09:30,45,cancelled_tutor,,,virtual
SES-00054,GRP-002,TUT-002,2025-10-03,09:30,45,completed,50,true,virtual
SES-00055,GRP-002,TUT-002,2025-10-07,09:30,45,cancelled_tutor,,,hybrid
SES-00056,GRP-002,TUT-002,2025-10-09,09:30,45,completed,44,true,hybrid
SES-00057,GRP-002,TUT-002,2025-10-10,09:30,45,completed,42,true,hybrid
SES-00058,GRP-002,TUT-002,2025-10-14,09:30,45,no_show,,,hybrid
SES-00059,GRP-002,TUT-002,2025-10-16,09:30,45,cancelled_student,,,hybrid
SES-00060,GRP-002,TUT-002,2025-10-17,09:30,45,completed,45,true,virtual
SES-00061,GRP-002,TUT-002,2025-10-21,09:30,45,completed,43,true,virtual
SES-00062,GRP-002,TUT-002,2025-10-23,09:30,45,completed,42,true,virtual
SES-00063,GRP-002,TUT-002,2025-10-24,09:30,45,completed,41,true,hybrid
SES-00064,GRP-002,TUT-002,2025-10-28,09:30,45,completed,48,true,virtual
SES-00065,GRP-002,TUT-002,2025-10-30,09:30,45,completed,49,true,virtual
SES-00066,GRP-002,TUT-002,2025-10-31,09:30,45,cancelled_tutor,,,in_person
SES-00067,GRP-002,TUT-002,2025-11-04,09:30,45,completed,49,true,in_person
SES-00068,GRP-002,TUT-002,2025-11-06,09:30,45,completed,40,true,hybrid
SES-00069,GRP-002,TUT-002,2025-11-07,09:30,45,completed,47,true,hybrid
SES-00070,GRP-002,TUT-002,2025-11-11,09:30,45,completed,43,true,virtual
SES-00071,GRP-002,TUT-002,2025-11-13,09:30,45,no_show,,,virtual
SES-00072,GRP-002,TUT-002,2025-11-14,09:30,45,completed,43,true,hybrid
SES-00073,GRP-002,TUT-002,2025-11-18,09:30,45,no_show,,,virtual
SES-00074,GRP-002,TUT-002,2025-11-20,09:30,45,completed,46,true,virtual
SES-00075,GRP-002,TUT-002,2025-11-21,09:30,45,no_show,,,in_person
SES-00076,GRP-002,TUT-002,2025-11-25,09:30,45,completed,42,true,in_person
SES-00077,GRP-002,TUT-002,2025-11-27,09:30,45,completed,45,true,in_person
SES-00078,GRP-002,TUT-002,2025-11-28,09:30,45,completed,48,true,virtual
SES-00079,GRP-003,TUT-003,2025-09-03,14:00,45,completed,41,false,in_person
SES-00080,GRP-003,TUT-003,2025-09-04,14:00,45,completed,45,false,virtual
SES-00081,GRP-003,TUT-003,2025-09-05,14:00,45,cancelled_tutor,,,hybrid
SES-00082,GRP-003,TUT-003,2025-09-10,14:00,45,completed,46,false,virtual
SES-00083,GRP-003,TUT-003,2025-09-11,14:00,45,completed,45,false,hybrid
SES-00084,GRP-003,TUT-003,2025-09-12,14:00,45,completed,42,true,virtual
SES-00085,GRP-003,TUT-003,2025-09-17,14:00,45,completed,47,true,in_person
SES-00086,GRP-003,TUT-003,2025-09-18,14:00,45,completed,47,true,in_person
SES-00087,GRP-003,TUT-003,2025-09-19,14:00,45,completed,40,true,in_person
SES-00088,GRP-003,TUT-003,2025-09-24,14:00,45,completed,49,true,in_person
SES-00089,GRP-003,TUT-003,2025-09-25,14:00,45,completed,43,true,in_person
SES-00090,GRP-003,TUT-003,2025-09-26,14:00,45,completed,50,true,virtual
SES-00091,GRP-003,TUT-003,2025-10-01,14:00,45,cancelled_student,,,virtual
SES-00092,GRP-003,TUT-003,2025-10-02,14:00,45,completed,40,true,hybrid
SES-00093,GRP-003,TUT-003,2025-10-03,14:00,45,completed,42,true,in_person
SES-00094,GRP-003,TUT-003,2025-10-08,14:00,45,completed,43,true,in_person
SES-00095,GRP-003,TUT-003,2025-10-09,14:00,45,completed,41,true,virtual
SES-00096,GRP-003,TUT-003,2025-10-10,14:00,45,cancelled_student,,,hybrid
SES-00097,GRP-003,TUT-003,2025-10-15,14:00,45,completed,48,true,virtual
SES-00098,GRP-003,TUT-003,2025-10-16,14:00,45,completed,40,true,virtual
SES-00099,GRP-003,TUT-003,2025-10-17,14:00,45,completed,40,true,in_person
SES-00100,GRP-003,TUT-003,2025-10-22,14:00,45,completed,50,true,hybrid
SES-00101,GRP-003,TUT-003,2025-10-23,14:00,45,completed,45,true,virtual
SES-00102,GRP-003,TUT-003,2025-10-24,14:00,45,completed,50,true,hybrid
SES-00103,GRP-003,TUT-003,2025-10-29,14:00,45,completed,47,true,in_person
SES-00104,GRP-003,TUT-003,2025-10-30,14:00,45,cancelled_student,,,virtual
SES-00105,GRP-003,TUT-003,2025-10-31,14:00,45,cancelled_school,,,in_person
SES-00106,GRP-003,TUT-003,2025-11-05,14:00,45,cancelled_student,,,in_person
SES-00107,GRP-003,TUT-003,2025-11-06,14:00,45,completed,45,false,hybrid
SES-00108,GRP-003,TUT-003,2025-11-07,14:00,45,completed,48,true,in_person
SES-00109,GRP-003,TUT-003,2025-11-12,14:00,45,completed,43,true,in_person
SES-00110,GRP-003,TUT-003,2025-11-13,14:00,45,completed,45,true,virtual
SES-00111,GRP-003,TUT-003,2025-11-14,14:00,45,completed,46,true,virtual
SES-00112,GRP-003,TUT-003,2025-11-19,14:00,45,completed,42,true,virtual
SES-00113,GRP-003,TUT-003,2025-11-20,14:00,45,completed,48,true,in_person
SES-00114,GRP-003,TUT-003,2025-11-21,14:00,45,completed,41,true,in_person
SES-00115,GRP-003,TUT-003,2025-11-26,14:00,45,completed,45,true,virtual
SES-00116,GRP-003,TUT-003,2025-11-27,14:00,45,completed,44,true,hybrid
SES-00117,GRP-003,TUT-003,2025-11-28,14:00,45,completed,47,true,in_person
SES-00118,GRP-004,TUT-004,2025-09-01,09:30,45,completed,50,true,in_person
SES-00119,GRP-004,TUT-004,2025-09-02,09:30,45,completed,49,true,virtual
SES-00120,GRP-004,TUT-004,2025-09-05,09:30,45,cancelled_student,,,in_person
SES-00121,GRP-004,TUT-004,2025-09-08,09:30,45,completed,50,true,virtual
SES-00122,GRP-004,TUT-004,2025-09-09,09:30,45,completed,40,true,hybrid
SES-00123,GRP-004,TUT-004,2025-09-12,09:30,45,completed,45,true,in_person
SES-00124,GRP-004,TUT-004,2025-09-15,09:30,45,completed,48,true,virtual
SES-00125,GRP-004,TUT-004,2025-09-16,09:30,45,completed,43,false,in_person
SES-00126,GRP-004,TUT-004,2025-09-19,09:30,45,completed,47,true,hybrid
SES-00127,GRP-004,TUT-004,2025-09-22,09:30,45,completed,44,true,in_person
SES-00128,GRP-004,TUT-004,2025-09-23,09:30,45,no_show,,,virtual
SES-00129,GRP-004,TUT-004,2025-09-26,09:30,45,completed,47,true,in_person
SES-00130,GRP-004,TUT-004,2025-09-29,09:30,45,completed,47,true,hybrid
SES-00131,GRP-004,TUT-004,2025-09-30,09:30,45,completed,41,true,virtual
SES-00132,GRP-004,TUT-004,2025-10-03,09:30,45,completed,41,true,virtual
SES-00133,GRP-004,TUT-004,2025-10-06,09:30,45,completed,42,true,hybrid
SES-00134,GRP-004,TUT-004,2025-10-07,09:30,45,completed,45,true,in_person
SES-00135,GRP-004,TUT-004,2025-10-10,09:30,45,no_show,,,in_person
SES-00136,GRP-004,TUT-004,2025-10-13,09:30,45,completed,47,true,hybrid
SES-00137,GRP-004,TUT-004,2025-10-14,09:30,45,completed,47,true,hybrid
SES-00138,GRP-004,TUT-004,2025-10-17,09:30,45,cancelled_tutor,,,in_person
SES-00139,GRP-004,TUT-004,2025-10-20,09:30,45,cancelled_student,,,virtual
SES-00140,GRP-004,TUT-004,2025-10-21,09:30,45,no_show,,,hybrid
SES-00141,GRP-004,TUT-004,2025-10-24,09:30,45,completed,46,true,hybrid
SES-00142,GRP-004,TUT-004,2025-10-27,09:30,45,cancelled_student,,,virtual
SES-00143,GRP-004,TUT-004,2025-10-28,09:30,45,completed,47,true,hybrid
SES-00144,GRP-004,TUT-004,2025-10-31,09:30,45,completed,48,true,in_person
SES-00145,GRP-004,TUT-004,2025-11-03,09:30,45,completed,42,true,in_person
SES-00146,GRP-004,TUT-004,2025-11-04,09:30,45,completed,48,true,in_person
SES-00147,GRP-004,TUT-004,2025-11-07,09:30,45,completed,43,true,hybrid
SES-00148,GRP-004,TUT-004,2025-11-10,09:30,45,completed,41,true,hybrid
SES-00149,GRP-004,TUT-004,2025-11-11,09:30,45,completed,44,true,virtual
SES-00150,GRP-004,TUT-004,2025-11-14,09:30,45,completed,41,true,in_person
SES-00151,GRP-004,TUT-004,2025-11-17,09:30,45,completed,49,true,hybrid
SES-00152,GRP-004,TUT-004,2025-11-18,09:30,45,completed,49,true,hybrid
SES-00153,GRP-004,TUT-004,2025-11-21,09:30,45,cancelled_student,,,in_person
SES-00154,GRP-004,TUT-004,2025-11-24,09:30,45,completed,50,true,virtual
SES-00155,GRP-004,TUT-004,2025-11-25,09:30,45,completed,49,true,hybrid
SES-00156,GRP-004,TUT-004,2025-11-28,09:30,45,cancelled_student,,,hybrid
SES-00157,GRP-005,TUT-001,2025-09-01,13:00,45,completed,50,true,virtual
SES-00158,GRP-005,TUT-001,2025-09-02,13:00,45,cancelled_tutor,,,in_person
SES-00159,GRP-005,TUT-001,2025-09-04,13:00,45,completed,46,true,in_person
SES-00160,GRP-005,TUT-001,2025-09-08,13:00,45,completed,42,true,hybrid
SES-00161,GRP-005,TUT-001,2025-09-09,13:00,45,completed,45,false,in_person
SES-00162,GRP-005,TUT-001,2025-09-11,13:00,45,completed,48,true,virtual
SES-00163,GRP-005,TUT-001,2025-09-15,13:00,45,completed,41,true,in_person
SES-00164,GRP-005,TUT-001,2025-09-16,13:00,45,completed,40,true,virtual
SES-00165,GRP-005,TUT-001,2025-09-18,13:00,45,completed,46,true,in_person
SES-00166,GRP-005,TUT-001,2025-09-22,13:00,45,completed,49,true,in_person
SES-00167,GRP-005,TUT-001,2025-09-23,13:00,45,completed,47,false,virtual
SES-00168,GRP-005,TUT-001,2025-09-25,13:00,45,completed,44,true,in_person
SES-00169,GRP-005,TUT-001,2025-09-29,13:00,45,completed,48,true,in_person
SES-00170,GRP-005,TUT-001,2025-09-30,13:00,45,completed,45,true,virtual
SES-00171,GRP-005,TUT-001,2025-10-02,13:00,45,completed,50,true,virtual
SES-00172,GRP-005,TUT-001,2025-10-06,13:00,45,completed,41,true,virtual
SES-00173,GRP-005,TUT-001,2025-10-07,13:00,45,completed,46,true,virtual
SES-00174,GRP-005,TUT-001,2025-10-09,13:00,45,cancelled_student,,,hybrid
SES-00175,GRP-005,TUT-001,2025-10-13,13:00,45,completed,48,true,virtual
SES-00176,GRP-005,TUT-001,2025-10-14,13:00,45,completed,48,true,hybrid
SES-00177,GRP-005,TUT-001,2025-10-16,13:00,45,completed,41,true,in_person
SES-00178,GRP-005,TUT-001,2025-10-20,13:00,45,completed,45,true,virtual
SES-00179,GRP-005,TUT-001,2025-10-21,13:00,45,completed,43,true,virtual
SES-00180,GRP-005,TUT-001,2025-10-23,13:00,45,completed,40,true,hybrid
SES-00181,GRP-005,TUT-001,2025-10-27,13:00,45,completed,47,true,in_person
SES-00182,GRP-005,TUT-001,2025-10-28,13:00,45,completed,48,true,hybrid
SES-00183,GRP-005,TUT-001,2025-10-30,13:00,45,completed,46,false,hybrid
SES-00184,GRP-005,TUT-001,2025-11-03,13:00,45,completed,49,true,hybrid
SES-00185,GRP-005,TUT-001,2025-11-04,13:00,45,completed,49,true,in_person
SES-00186,GRP-005,TUT-001,2025-11-06,13:00,45,completed,50,true,virtual
SES-00187,GRP-005,TUT-001,2025-11-10,13:00,45,completed,50,true,virtual
SES-00188,GRP-005,TUT-001,2025-11-11,13:00,45,completed,50,true,hybrid
SES-00189,GRP-005,TUT-001,2025-11-13,13:00,45,completed,40,true,in_person
SES-00190,GRP-005,TUT-001,2025-11-17,13:00,45,completed,49,true,virtual
SES-00191,GRP-005,TUT-001,2025-11-18,13:00,45,completed,50,true,hybrid
SES-00192,GRP-005,TUT-001,2025-11-20,13:00,45,completed,41,true,virtual
SES-00193,GRP-005,TUT-001,2025-11-24,13:00,45,completed,42,true,in_person
SES-00194,GRP-005,TUT-001,2025-11-25,13:00,45,completed,49,false,hybrid
SES-00195,GRP-005,TUT-001,2025-11-27,13:00,45,completed,42,true,hybrid
SES-00196,GRP-006,TUT-002,2025-09-01,11:00,45,completed,48,true,virtual
SES-00197,GRP-006,TUT-002,2025-09-02,11:00,45,completed,50,true,hybrid
SES-00198,GRP-006,TUT-002,2025-09-05,11:00,45,completed,47,true,in_person
SES-00199,GRP-006,TUT-002,2025-09-08,11:00,45,completed,44,true,virtual
SES-00200,GRP-006,TUT-002,2025-09-09,11:00,45,completed,43,true,virtual
SES-00201,GRP-006,TUT-002,2025-09-12,11:00,45,completed,45,true,hybrid
SES-00202,GRP-006,TUT-002,2025-09-15,11:00,45,completed,41,true,hybrid
SES-00203,GRP-006,TUT-002,2025-09-16,11:00,45,completed,46,true,in_person
SES-00204,GRP-006,TUT-002,2025-09-19,11:00,45,completed,44,false,in_person
SES-00205,GRP-006,TUT-002,2025-09-22,11:00,45,completed,47,true,hybrid
SES-00206,GRP-006,TUT-002,2025-09-23,11:00,45,completed,43,true,virtual
SES-00207,GRP-006,TUT-002,2025-09-26,11:00,45,completed,44,true,hybrid
SES-00208,GRP-006,TUT-002,2025-09-29,11:00,45,completed,43,true,hybrid
SES-00209,GRP-006,TUT-002,2025-09-30,11:00,45,completed,43,true,in_person
SES-00210,GRP-006,TUT-002,2025-10-03,11:00,45,cancelled_tutor,,,virtual
SES-00211,GRP-006,TUT-002,2025-10-06,11:00,45,completed,41,true,in_person
SES-00212,GRP-006,TUT-002,2025-10-07,11:00,45,cancelled_school,,,hybrid
SES-00213,GRP-006,TUT-002,2025-10-10,11:00,45,no_show,,,in_person
SES-00214,GRP-006,TUT-002,2025-10-13,11:00,45,completed,47,true,in_person
SES-00215,GRP-006,TUT-002,2025-10-14,11:00,45,completed,44,true,hybrid
SES-00216,GRP-006,TUT-002,2025-10-17,11:00,45,cancelled_student,,,in_person
SES-00217,GRP-006,TUT-002,2025-10-20,11:00,45,completed,43,true,hybrid
SES-00218,GRP-006,TUT-002,2025-10-21,11:00,45,completed,40,true,in_person
SES-00219,GRP-006,TUT-002,2025-10-24,11:00,45,completed,42,false,in_person
SES-00220,GRP-006,TUT-002,2025-10-27,11:00,45,no_show,,,virtual
SES-00221,GRP-006,TUT-002,2025-10-28,11:00,45,completed,42,false,virtual
SES-00222,GRP-006,TUT-002,2025-10-31,11:00,45,completed,40,true,hybrid
SES-00223,GRP-006,TUT-002,2025-11-03,11:00,45,completed,45,true,hybrid
SES-00224,GRP-006,TUT-002,2025-11-04,11:00,45,completed,47,true,in_person
SES-00225,GRP-006,TUT-002,2025-11-07,11:00,45,completed,47,true,in_person
SES-00226,GRP-006,TUT-002,2025-11-10,11:00,45,completed,47,true,hybrid
SES-00227,GRP-006,TUT-002,2025-11-11,11:00,45,completed,45,true,hybrid
SES-00228,GRP-006,TUT-002,2025-11-14,11:00,45,completed,43,true,hybrid
SES-00229,GRP-006,TUT-002,2025-11-17,11:00,45,completed,46,true,in_person
SES-00230,GRP-006,TUT-002,2025-11-18,11:00,45,completed,41,true,in_person
SES-00231,GRP-006,TUT-002,2025-11-21,11:00,45,completed,43,true,virtual
SES-00232,GRP-006,TUT-002,2025-11-24,11:00,45,completed,44,false,virtual
SES-00233,GRP-006,TUT-002,2025-11-25,11:00,45,completed,49,true,hybrid
SES-00234,GRP-006,TUT-002,2025-11-28,11:00,45,completed,43,true,in_person
SES-00235,GRP-007,TUT-005,2025-09-01,14:30,45,completed,50,true,virtual
SES-00236,GRP-007,TUT-005,2025-09-02,14:30,45,completed,43,true,in_person
SES-00237,GRP-007,TUT-005,2025-09-05,14:30,45,completed,47,true,hybrid
SES-00238,GRP-007,TUT-005,2025-09-08,14:30,45,completed,48,true,hybrid
SES-00239,GRP-007,TUT-005,2025-09-09,14:30,45,completed,43,true,hybrid
SES-00240,GRP-007,TUT-005,2025-09-12,14:30,45,completed,41,true,hybrid
SES-00241,GRP-007,TUT-005,2025-09-15,14:30,45,completed,41,true,in_person
SES-00242,GRP-007,TUT-005,2025-09-16,14:30,45,cancelled_tutor,,,hybrid
SES-00243,GRP-007,TUT-005,2025-09-19,14:30,45,completed,43,true,in_person
SES-00244,GRP-007,TUT-005,2025-09-22,14:30,45,completed,48,true,hybrid
SES-00245,GRP-007,TUT-005,2025-09-23,14:30,45,completed,49,true,hybrid
SES-00246,GRP-007,TUT-005,2025-09-26,14:30,45,completed,40,true,hybrid
SES-00247,GRP-007,TUT-005,2025-09-29,14:30,45,completed,49,true,virtual
SES-00248,GRP-007,TUT-005,2025-09-30,14:30,45,completed,44,true,virtual
SES-00249,GRP-007,TUT-005,2025-10-03,14:30,45,completed,40,true,hybrid
SES-00250,GRP-007,TUT-005,2025-10-06,14:30,45,cancelled_student,,,virtual
SES-00251,GRP-007,TUT-005,2025-10-07,14:30,45,completed,41,true,in_person
SES-00252,GRP-007,TUT-005,2025-10-10,14:30,45,completed,41,false,virtual
SES-00253,GRP-007,TUT-005,2025-10-13,14:30,45,cancelled_school,,,virtual
SES-00254,GRP-007,TUT-005,2025-10-14,14:30,45,completed,42,true,hybrid
SES-00255,GRP-007,TUT-005,2025-10-17,14:30,45,completed,46,true,virtual
SES-00256,GRP-007,TUT-005,2025-10-20,14:30,45,completed,46,true,hybrid
SES-00257,GRP-007,TUT-005,2025-10-21,14:30,45,no_show,,,hybrid
SES-00258,GRP-007,TUT-005,2025-10-24,14:30,45,cancelled_tutor,,,virtual
SES-00259,GRP-007,TUT-005,2025-10-27,14:30,45,cancelled_tutor,,,hybrid
SES-00260,GRP-007,TUT-005,2025-10-28,14:30,45,completed,42,true,in_person
SES-00261,GRP-007,TUT-005,2025-10-31,14:30,45,completed,40,false,virtual
SES-00262,GRP-007,TUT-005,2025-11-03,14:30,45,completed,48,true,virtual
SES-00263,GRP-007,TUT-005,2025-11-04,14:30,45,completed,43,true,in_person
SES-00264,GRP-007,TUT-005,2025-11-07,14:30,45,completed,41,true,hybrid
SES-00265,GRP-007,TUT-005,2025-11-10,14:30,45,completed,40,true,in_person
SES-00266,GRP-007,TUT-005,2025-11-11,14:30,45,completed,40,true,hybrid
SES-00267,GRP-007,TUT-005,2025-11-14,14:30,45,completed,40,true,in_person
SES-00268,GRP-007,TUT-005,2025-11-17,14:30,45,completed,43,true,in_person
SES-00269,GRP-007,TUT-005,2025-11-18,14:30,45,completed,44,true,hybrid
SES-00270,GRP-007,TUT-005,2025-11-21,14:30,45,completed,49,true,hybrid
SES-00271,GRP-007,TUT-005,2025-11-24,14:30,45,completed,43,true,in_person
SES-00272,GRP-007,TUT-005,2025-11-25,14:30,45,no_show,,,hybrid
SES-00273,GRP-007,TUT-005,2025-11-28,14:30,45,completed,44,true,hybrid
SES-00274,GRP-008,TUT-006,2025-09-01,14:30,45,cancelled_student,,,virtual
SES-00275,GRP-008,TUT-006,2025-09-03,14:30,45,completed,50,true,hybrid
SES-00276,GRP-008,TUT-006,2025-09-04,14:30,45,completed,46,true,virtual
SES-00277,GRP-008,TUT-006,2025-09-08,14:30,45,completed,48,true,in_person
SES-00278,GRP-008,TUT-006,2025-09-10,14:30,45,completed,42,true,in_person
SES-00279,GRP-008,TUT-006,2025-09-11,14:30,45,completed,46,true,in_person
SES-00280,GRP-008,TUT-006,2025-09-15,14:30,45,completed,44,true,hybrid
SES-00281,GRP-008,TUT-006,2025-09-17,14:30,45,cancelled_tutor,,,virtual
SES-00282,GRP-008,TUT-006,2025-09-18,14:30,45,completed,41,true,in_person
SES-00283,GRP-008,TUT-006,2025-09-22,14:30,45,cancelled_tutor,,,virtual
SES-00284,GRP-008,TUT-006,2025-09-24,14:30,45,completed,49,true,in_person
SES-00285,GRP-008,TUT-006,2025-09-25,14:30,45,completed,49,true,hybrid
SES-00286,GRP-008,TUT-006,2025-09-29,14:30,45,completed,43,true,virtual
SES-00287,GRP-008,TUT-006,2025-10-01,14:30,45,completed,40,true,in_person
SES-00288,GRP-008,TUT-006,2025-10-02,14:30,45,no_show,,,in_person
SES-00289,GRP-008,TUT-006,2025-10-06,14:30,45,completed,47,true,hybrid
SES-00290,GRP-008,TUT-006,2025-10-08,14:30,45,completed,43,true,in_person
SES-00291,GRP-008,TUT-006,2025-10-09,14:30,45,completed,44,true,hybrid
SES-00292,GRP-008,TUT-006,2025-10-13,14:30,45,completed,44,true,hybrid
SES-00293,GRP-008,TUT-006,2025-10-15,14:30,45,completed,47,true,hybrid
SES-00294,GRP-008,TUT-006,2025-10-16,14:30,45,completed,45,true,virtual
SES-00295,GRP-008,TUT-006,2025-10-20,14:30,45,completed,40,true,in_person
SES-00296,GRP-008,TUT-006,2025-10-22,14:30,45,completed,40,true,hybrid
SES-00297,GRP-008,TUT-006,2025-10-23,14:30,45,completed,46,true,in_person
SES-00298,GRP-008,TUT-006,2025-10-27,14:30,45,completed,46,true,in_person
SES-00299,GRP-008,TUT-006,2025-10-29,14:30,45,completed,50,false,virtual
SES-00300,GRP-008,TUT-006,2025-10-30,14:30,45,completed,47,false,hybrid
SES-00301,GRP-008,TUT-006,2025-11-03,14:30,45,completed,47,true,virtual
SES-00302,GRP-008,TUT-006,2025-11-05,14:30,45,completed,48,true,hybrid
SES-00303,GRP-008,TUT-006,2025-11-06,14:30,45,no_show,,,in_person
SES-00304,GRP-008,TUT-006,2025-11-10,14:30,45,completed,41,false,hybrid
SES-00305,GRP-008,TUT-006,2025-11-12,14:30,45,cancelled_student,,,in_person
SES-00306,GRP-008,TUT-006,2025-11-13,14:30,45,completed,50,true,hybrid
SES-00307,GRP-008,TUT-006,2025-11-17,14:30,45,completed,43,true,virtual
SES-00308,GRP-008,TUT-006,2025-11-19,14:30,45,cancelled_tutor,,,hybrid
SES-00309,GRP-008,TUT-006,2025-11-20,14:30,45,completed,49,true,hybrid
SES-00310,GRP-008,TUT-006,2025-11-24,14:30,45,completed,40,true,virtual
SES-00311,GRP-008,TUT-006,2025-11-26,14:30,45,cancelled_school,,,hybrid
SES-00312,GRP-008,TUT-006,2025-11-27,14:30,45,completed,48,false,in_person
SES-00313,GRP-009,TUT-007,2025-09-01,09:00,45,completed,49,true,virtual
SES-00314,GRP-009,TUT-007,2025-09-02,09:00,45,completed,46,true,virtual
SES-00315,GRP-009,TUT-007,2025-09-03,09:00,45,completed,43,false,in_person
SES-00316,GRP-009,TUT-007,2025-09-08,09:00,45,completed,41,true,hybrid
SES-00317,GRP-009,TUT-007,2025-09-09,09:00,45,completed,41,true,virtual
SES-00318,GRP-009,TUT-007,2025-09-10,09:00,45,completed,40,true,hybrid
SES-00319,GRP-009,TUT-007,2025-09-15,09:00,45,completed,47,true,hybrid
SES-00320,GRP-009,TUT-007,2025-09-16,09:00,45,completed,49,false,in_person
SES-00321,GRP-009,TUT-007,2025-09-17,09:00,45,completed,40,true,hybrid
SES-00322,GRP-009,TUT-007,2025-09-22,09:00,45,completed,47,true,in_person
SES-00323,GRP-009,TUT-007,2025-09-23,09:00,45,completed,44,true,hybrid
SES-00324,GRP-009,TUT-007,2025-09-24,09:00,45,completed,42,false,virtual
SES-00325,GRP-009,TUT-007,2025-09-29,09:00,45,cancelled_school,,,in_person
