summary_id,program_id,school_id,month_label,subgroup_dimension,subgroup_value,n_students,n_sessions_attended,attendance_rate,avg_dosage_minutes,suppressed,suppression_reason
SAS-00050,PROG-001,,2025-10,race_ethnicity,AIAN,3,24,,,true,n < 10
SAS-00051,PROG-001,,2025-11,race_ethnicity,AIAN,3,27,,,true,n < 10
SAS-00052,PROG-001,,2025-09,race_ethnicity,Asian,12,115,0.7931,427.08,false,
SAS-00053,PROG-001,,2025-10,race_ethnicity,Asian,12,88,0.7521,323.92,false,
SAS-00054,PROG-001,,2025-11,race_ethnicity,Asian,12,102,0.8095,376.25,false,
SAS-00055,PROG-001,,2025-09,race_ethnicity,Black,34,313,0.7728,408.21,false,
SAS-00056,PROG-001,,2025-10,race_ethnicity,Black,34,270,0.8108,351.88,false,
SAS-00057,PROG-001,,2025-11,race_ethnicity,Black,34,297,0.792,388.82,false,
SAS-00058,PROG-001,,2025-09,race_ethnicity,Hispanic,43,426,0.8083,441.6,false,
SAS-00059,PROG-001,,2025-10,race_ethnicity,Hispanic,43,352,0.8482,362.86,false,
SAS-00060,PROG-001,,2025-11,race_ethnicity,Hispanic,43,401,0.8442,414.23,false,
SAS-00061,PROG-001,,2025-09,race_ethnicity,NHPI,4,42,,,true,n < 10
SAS-00062,PROG-001,,2025-10,race_ethnicity,NHPI,4,30,,,true,n < 10
SAS-00063,PROG-001,,2025-11,race_ethnicity,NHPI,4,35,,,true,n < 10
SAS-00064,PROG-001,,2025-09,race_ethnicity,TwoOrMore,7,59,,,true,n < 10
SAS-00065,PROG-001,,2025-10,race_ethnicity,TwoOrMore,7,61,,,true,n < 10
SAS-00066,PROG-001,,2025-11,race_ethnicity,TwoOrMore,7,59,,,true,n < 10
SAS-00067,PROG-001,,2025-09,race_ethnicity,Unknown,1,12,,,true,n < 10
SAS-00068,PROG-001,,2025-10,race_ethnicity,Unknown,1,7,,,true,n < 10
SAS-00069,PROG-001,,2025-11,race_ethnicity,Unknown,1,11,,,true,n < 10
SAS-00070,PROG-001,,2025-09,race_ethnicity,White,23,205,0.7537,394.91,false,
SAS-00071,PROG-001,,2025-10,race_ethnicity,White,23,195,0.8515,373.43,false,
SAS-00072,PROG-001,,2025-11,race_ethnicity,White,23,204,0.8293,393.91,false,
